Days,Room
Fr 10:00am - 10:50am,Brooks Hall 103
Fr 4:00pm - 4:50pm,Brooks Hall 103
MoWe 4:00pm - 4:50pm,John W. Warner Hall 104
Th 9:30am - 10:20am,Nau Hall 241
Th 4:00pm - 4:50pm,Monroe Hall 114
Fr 12:00pm - 12:50pm,New Cabell Hall 207
Mo 2:00pm - 4:30pm,New Cabell Hall 323
We 3:30pm - 6:00pm,Dell 1 105
MoWeFr 11:00am - 11:50am,New Cabell Hall 309
TuTh 12:30pm - 1:45pm,Claude Moore Nursing Educ G120
TuTh 2:00pm - 3:15pm,New Cabell Hall 032
WeFr 10:00am - 10:50am,John W. Warner Hall 115
Mo 10:00am - 10:50am,Brooks Hall 103
Mo 12:00pm - 12:50pm,The Rotunda Room 152
Tu 3:30pm - 4:20pm,Brooks Hall 103
TuTh 2:00pm - 3:15pm,New Cabell Hall 485
TuTh 3:30pm - 4:45pm,New Cabell Hall 489
TuTh 3:30pm - 4:45pm,New Cabell Hall 323
TuTh 11:00am - 12:15pm,The Rotunda Room 150
MoWe 3:30pm - 4:45pm,New Cabell Hall 594
We 3:30pm - 6:00pm,New Cabell Hall 415
Tu 3:30pm - 6:00pm,The Rotunda Room 150
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
Mo 4:00pm - 6:30pm,New Cabell Hall 111
We 5:00pm - 7:30pm,Brooks Hall 103
MoWe 3:30pm - 4:45pm,The Rotunda Room 150
Tu 5:00pm - 7:30pm,Wilson Hall 238
Th 3:30pm - 6:00pm,Brooks Hall 103
Mo 5:00pm - 7:30pm,New Cabell Hall 411
TuTh 12:30pm - 1:45pm,The Rotunda Room 150
Th 5:00pm - 7:30pm,The Rotunda Room 150
MoWe 2:00pm - 3:15pm,New Cabell Hall 407
TuTh 11:00am - 12:15pm,The Rotunda Room 150
TuTh 2:00pm - 3:15pm,New Cabell Hall 032
Tu 5:00pm - 7:30pm,Brooks Hall 103
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
TBA,TBA
Tu 8:30am - 9:20am,Mechanical Engr Bldg 339
Tu 1:00pm - 1:50pm,Mechanical Engr Bldg 341
Tu 1:00pm - 1:50pm,Thornton Hall E304
Tu 8:30am - 9:20am,Thornton Hall E303
Tu 1:00pm - 1:50pm,Chemical Engineering Bldg 005
Tu 1:00pm - 1:50pm,Olsson Hall 005
Tu 1:00pm - 1:50pm,Olsson Hall 009
Tu 8:30am - 9:20am,Olsson Hall 005
Tu 8:30am - 9:20am,Mechanical Engr Bldg 205
Tu 8:30am - 9:20am,Mechanical Engr Bldg 205
Tu 1:00pm - 1:50pm,Mechanical Engr Bldg 205
Tu 1:00pm - 1:50pm,Mechanical Engr Bldg 339
Tu 8:30am - 9:20am,Olsson Hall 120
Tu 8:30am - 9:20am,Olsson Hall 011
Tu 8:30am - 9:20am,Olsson Hall 120
Tu 1:00pm - 1:50pm,Thornton Hall E303
Th 8:30am - 9:20am,Mechanical Engr Bldg 339
Th 1:00pm - 1:50pm,Mechanical Engr Bldg 339
Th 1:00pm - 1:50pm,Mechanical Engr Bldg 341
Th 8:30am - 9:20am,Olsson Hall 005
Th 8:30am - 9:20am,Olsson Hall 011
Th 1:00pm - 1:50pm,Chemical Engineering Bldg 005
Th 1:00pm - 1:50pm,Olsson Hall 009
MoWeFr 12:00pm - 12:50pm,Chemical Engineering Bldg 005
MoWeFr 1:00pm - 1:50pm,Olsson Hall 009
MoWeFr 11:00am - 11:50am,Chemical Engineering Bldg 005
MoWeFr 12:00pm - 12:50pm,Thornton Hall E316
MoWeFr 1:00pm - 1:50pm,Thornton Hall E316
MoWeFr 12:00pm - 12:50pm,Thornton Hall E303
MoWeFr 12:00pm - 12:50pm,Olsson Hall 011
MoWeFr 11:00am - 11:50am,Thornton Hall D223
MoWeFr 12:00pm - 12:50pm,Olsson Hall 005
MoWeFr 10:00am - 10:50am,Thornton Hall E304
MoWeFr 1:00pm - 1:50pm,Mechanical Engr Bldg 341
MoWeFr 12:00pm - 12:50pm,Olsson Hall 018
MoWeFr 1:00pm - 1:50pm,Olsson Hall 005
MoWeFr 2:00pm - 2:50pm,Olsson Hall 009
TuTh 11:00am - 12:15pm,Olsson Hall 005
TuTh 2:00pm - 3:15pm,Olsson Hall 011
TuTh 3:30pm - 4:45pm,Olsson Hall 011
MoWeFr 9:00am - 9:50am,Olsson Hall 011
MoWeFr 11:00am - 11:50am,Olsson Hall 011
MoWe 3:30pm - 4:45pm,Thornton Hall E304
Mo 2:00pm - 2:50pm,Rice Hall 032
TBA,TBA
Sa 8:00am - 5:00pm,Olsson Hall 011
Mo 2:00pm - 2:50pm,Rice Hall 032
MoTuWeTh 9:00am - 9:50am,New Cabell Hall 132
MoTuWeTh 11:00am - 11:50am,New Cabell Hall 132
MoTuWeTh 12:00pm - 12:50pm,New Cabell Hall 168
MoTuWeTh 1:00pm - 1:50pm,New Cabell Hall 168
MoTuWeTh 11:00am - 11:50am,New Cabell Hall 168
MoTuWeTh 12:00pm - 12:50pm,New Cabell Hall 132
MoTuWeTh 1:00pm - 1:50pm,New Cabell Hall 066
MoWe 3:30pm - 4:45pm,New Cabell Hall 068
